#,title,rating,nb. votes
,,,
1,Fullmetal Alchemist (TV),8.72,13502
,,,
2,Death Note (TV),8.86,13072
,,,
3,Cowboy Bebop (TV),8.93,12408
,,,
4,Spirited Away (movie),8.96,10668
,,,
5,Princess Mononoke (movie),8.92,9941
,,,
6,(The) Melancholy of Haruhi Suzumiya (TV),8.56,10210
,,,
7,Elfen Lied (TV),8.29,10516
,,,
8,Neon Genesis Evangelion (TV),8.32,10339
,,,
9,Code Geass: Lelouch of the Rebellion (TV),8.85,9287
,,,
10,Bleach (TV),7.94,9226
,,,
11,Code Geass: Lelouch of the Rebellion R2 (TV),9.01,7970
,,,
12,FLCL (OAV),8.18,8743
,,,
13,Naruto (TV),7.52,9369
,,,
14,Samurai Champloo (TV),8.53,8009
,,,
15,Trigun (TV),8.37,8036
,,,
16,Gurren Lagann (TV),8.73,7054
,,,
17,Rurouni Kenshin: Trust & Betrayal (OAV),8.91,6696
,,,
18,Howl's Moving Castle (movie),8.62,6916
,,,
19,Full Metal Panic! (TV),8.12,7264
,,,
20,Ouran High School Host Club (TV),8.53,6763
,,,
21,Fullmetal Alchemist: Brotherhood (TV),9.09,6059
,,,
22,Clannad (TV),8.59,6293
,,,
23,Fruits Basket (TV 1/2001),8.13,6397
,,,
24,Akira (movie),7.95,6492
,,,
25,Cowboy Bebop: The Movie,8.44,6058
,,,
26,Chobits (TV),7.64,6687
,,,
27,Full Metal Panic? Fumoffu (TV),8.39,6065
,,,
28,5 Centimeters Per Second (movie),8.67,5837
,,,
29,Rurouni Kenshin (TV 1996),8.36,5994
,,,
30,(The) Girl Who Leapt Through Time (movie),8.66,5581
,,,
31,Ghost in the Shell (movie),8.23,5856
,,,
32,Clannad After Story (TV),8.85,5361
,,,
33,Hellsing (TV),7.64,6179
,,,
34,Final Fantasy VII: Advent Children (movie),8,5895
,,,
35,Azumanga Daioh (TV),8.38,5587
,,,
36,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,7.99,5690
,,,
37,Ghost in the Shell: Stand Alone Complex (TV),8.51,5233
,,,
38,Nausicaä of the Valley of the Wind (movie),8.68,5128
,,,
39,Mushi-Shi (TV),8.8,5045
,,,
40,Darker than Black (TV),8.3,5317
,,,
41,Fate/stay night (TV),7.51,5858
,,,
42,Steins;Gate (TV),9.08,4842
,,,
43,Claymore (TV),8.17,5329
,,,
44,Toradora! (TV),8.48,5060
,,,
45,Inuyasha (TV),7.29,5870
,,,
46,Castle in the Sky (movie),8.53,4954
,,,
47,Full Metal Panic! The Second Raid (TV),8.42,5016
,,,
48,Black Lagoon (TV),8.29,5068
,,,
49,Blood+ (TV),7.98,5223
,,,
50,Angel Beats! (TV),8.54,4864
